title,url,imdbRating,imdbVotes,metascore,directors,thespians
306. ARI - Una historia de amor y vida,https://www.imdb.com/es-es/title/tt32777277/,,,,"[{'name': 'Ricard Mamblona', 'url': 'https://www.imdb.com/name/nm7074744/'}, {'name': 'Ariadna Relea', 'url': 'https://www.imdb.com/name/nm4364495/'}]","[{'name': 'Clara Aciman', 'url': 'https://www.imdb.com/name/nm16301389/'}, {'name': 'Ariana Benede', 'url': 'https://www.imdb.com/name/nm7964051/'}, {'name': 'Sandra Benedé', 'url': 'https://www.imdb.com/name/nm16301385/'}, {'name': 'Josep Maria Campistol', 'url': 'https://www.imdb.com/name/nm16301396/'}, {'name': 'Julio Delgado', 'url': 'https://www.imdb.com/name/nm16301390/'}, {'name': 'Valentina Dogo', 'url': 'https://www.imdb.com/name/nm16301395/'}, {'name': 'Ángela Jover', 'url': 'https://www.imdb.com/name/nm7964050/'}, {'name': 'Manel Juan', 'url': 'https://www.imdb.com/name/nm16301386/'}, {'name': 'Silvia Noguer', 'url': 'https://www.imdb.com/name/nm16301393/'}, {'name': 'Susana Rives', 'url': 'https://www.imdb.com/name/nm16301388/'}, {'name': 'Sylvia Rovira', 'url': 'https://www.imdb.com/name/nm16301392/'}, {'name': 'Juan Ignacio Serrano', 'url': 'https://www.imdb.com/name/nm16301391/'}, {'name': 'Álvaro Urbano', 'url': 'https://www.imdb.com/name/nm7964049/'}, {'name': 'Núria Vilamajó', 'url': 'https://www.imdb.com/name/nm16301394/'}]"
307. In Memoriam Biel,https://www.imdb.com/es-es/title/tt31579785/,,,,"[{'name': 'Santi Suárez-Baldrís', 'url': 'https://www.imdb.com/name/nm1622392/'}]","[{'name': 'Pere Arquillué', 'url': 'https://www.imdb.com/name/nm0998801/'}, {'name': 'Biel Castaño', 'url': 'https://www.imdb.com/name/nm13814345/'}, {'name': 'Toni Ubach', 'url': 'https://www.imdb.com/name/nm1890610/'}, {'name': 'Lourdes Doménech', 'url': 'https://www.imdb.com/name/nm5644588/'}, {'name': 'Neus Ceballos', 'url': 'https://www.imdb.com/name/nm11392391/'}, {'name': 'Gerard Domènech', 'url': 'https://www.imdb.com/name/nm16877442/'}, {'name': 'Carles Pitarch', 'url': 'https://www.imdb.com/name/nm5770699/'}, {'name': 'Jaume Ciurana', 'url': 'https://www.imdb.com/name/nm6460871/'}, {'name': 'Josep M. Martí', 'url': 'https://www.imdb.com/name/nm16877438/'}, {'name': 'Salvador Forés', 'url': 'https://www.imdb.com/name/nm16877443/'}, {'name': 'Dolors Esquerda', 'url': 'https://www.imdb.com/name/nm16877441/'}, {'name': 'Dolors Juanpere', 'url': 'https://www.imdb.com/name/nm16877439/'}, {'name': 'Jordi Romero', 'url': 'https://www.imdb.com/name/nm9120864/'}, {'name': 'Irene Benavent', 'url': 'https://www.imdb.com/name/nm16877440/'}, {'name': 'Josep M. Roig', 'url': 'https://www.imdb.com/name/nm16877450/'}, {'name': 'Estefania Suárez Sánchez', 'url': 'https://www.imdb.com/name/nm16483461/'}, {'name': 'Santi Suárez-Baldrís', 'url': 'https://www.imdb.com/name/nm1622392/'}, {'name': 'Jordi Suárez', 'url': 'https://www.imdb.com/name/nm16877454/'}, {'name': 'Maria Rosa Tombas', 'url': 'https://www.imdb.com/name/nm16877451/'}, {'name': 'Narcís Martí', 'url': 'https://www.imdb.com/name/nm16877453/'}, {'name': 'Josep Baiges', 'url': 'https://www.imdb.com/name/nm16877452/'}]"
308. Dream Academy,https://www.imdb.com/es-es/title/tt30886514/,,,,"[{'name': 'Jose Amaya', 'url': 'https://www.imdb.com/name/nm15725666/'}, {'name': 'Pamela Castro', 'url': 'https://www.imdb.com/name/nm15725665/'}]","[{'name': 'Quim Almansa', 'url': 'https://www.imdb.com/name/nm7824476/'}]"
309. La sombra del quebrantahuesos,https://www.imdb.com/es-es/title/tt32424287/,,,,"[{'name': 'Luisje Moyano', 'url': 'https://www.imdb.com/name/nm5198812/'}]","[{'name': 'Carlos Ann', 'url': 'https://www.imdb.com/name/nm1888718/'}, {'name': 'Óscar Cabrera', 'url': 'https://www.imdb.com/name/nm13156979/'}, {'name': 'Rafa Castillo-Romero', 'url': 'https://www.imdb.com/name/nm1964622/'}, {'name': 'Analo Fernández', 'url': 'https://www.imdb.com/name/nm13509006/'}, {'name': 'Ana Galán', 'url': 'https://www.imdb.com/name/nm16065910/'}, {'name': 'Marcos Hita', 'url': 'https://www.imdb.com/name/nm7032399/'}, {'name': 'Ana Ifigenia', 'url': 'https://www.imdb.com/name/nm16150014/'}, {'name': 'Pedro Jiménez-Vallejo', 'url': 'https://www.imdb.com/name/nm13079706/'}, {'name': 'Varela Jose', 'url': 'https://www.imdb.com/name/nm8629688/'}, {'name': 'Ana Loig', 'url': 'https://www.imdb.com/name/nm5134670/'}, {'name': 'Manuel Salas', 'url': 'https://www.imdb.com/name/nm0757603/'}, {'name': 'Aníbal Soto', 'url': 'https://www.imdb.com/name/nm0815505/'}]"
310. Equipo Crónica. Arte de trinchera,https://www.imdb.com/es-es/title/tt35971940/,,,,"[{'name': 'Rafael Sesa', 'url': 'https://www.imdb.com/name/nm17072880/'}, {'name': 'Felipe Villaplana', 'url': 'https://www.imdb.com/name/nm17072876/'}]","[{'name': 'Manolo Valdés', 'url': 'https://www.imdb.com/name/nm2485316/'}, {'name': 'Rafael Solbes', 'url': 'https://www.imdb.com/name/nm17072881/'}, {'name': 'Valeriano Bozal', 'url': 'https://www.imdb.com/name/nm4521951/'}, {'name': 'Antonio de Felipe', 'url': 'https://www.imdb.com/name/nm0208338/'}, {'name': 'Escif', 'url': 'https://www.imdb.com/name/nm17072877/'}, {'name': 'Ramón Escrivà', 'url': 'https://www.imdb.com/name/nm14861290/'}, {'name': 'Teresa Millet', 'url': 'https://www.imdb.com/name/nm17072878/'}, {'name': 'Álvaro Solbes', 'url': 'https://www.imdb.com/name/nm17072879/'}, {'name': 'Jordi Teixidor', 'url': 'https://www.imdb.com/name/nm7207358/'}, {'name': 'Fernando Trueba', 'url': 'https://www.imdb.com/name/nm0874096/'}]"
311. Una casa en el pueblo,https://www.imdb.com/es-es/title/tt34339383/,,,,"[{'name': 'Domingo J. González', 'url': 'https://www.imdb.com/name/nm2074732/'}]",[]
312. Tivoli,https://www.imdb.com/es-es/title/tt33365022/,,,,"[{'name': 'Lucía Muñoz Lucena', 'url': 'https://www.imdb.com/name/nm14865854/'}, {'name': 'Sergio Rodrigo', 'url': 'https://www.imdb.com/name/nm14865853/'}]","[{'name': 'Alfonso Alba Cuesta', 'url': 'https://www.imdb.com/name/nm16514491/'}, {'name': 'Alfonso Cerezo Medina', 'url': 'https://www.imdb.com/name/nm16514490/'}, {'name': 'Ana María Moreno Peña', 'url': 'https://www.imdb.com/name/nm16514489/'}, {'name': 'Francisco de la Torre', 'url': 'https://www.imdb.com/name/nm14606728/'}, {'name': 'Juan Antonio Lara Martín', 'url': 'https://www.imdb.com/name/nm16514494/'}, {'name': 'Juan Carmona Sánchez', 'url': 'https://www.imdb.com/name/nm16514496/'}, {'name': 'Juan Ramón Delgado', 'url': 'https://www.imdb.com/name/nm16514492/'}, {'name': 'Lina De los Ríos Romero', 'url': 'https://www.imdb.com/name/nm16514493/'}, {'name': 'Miguel Ríos', 'url': 'https://www.imdb.com/name/nm0753835/'}, {'name': 'Rody Aragón', 'url': 'https://www.imdb.com/name/nm1393016/'}, {'name': 'María José Santiago', 'url': 'https://www.imdb.com/name/nm2124364/'}, {'name': 'Mogen Holmen', 'url': 'https://www.imdb.com/name/nm16514495/'}, {'name': 'Rafael Gómez Sánchez', 'url': 'https://www.imdb.com/name/nm16514407/'}]"
313. Voces en el hielo,https://www.imdb.com/es-es/title/tt32581882/,,,,"[{'name': 'Raul Vaquero', 'url': 'https://www.imdb.com/name/nm8529574/'}]",[]
"314. Gonzalo Boye, el enemigo público",https://www.imdb.com/es-es/title/tt33772689/,,,,"[{'name': 'Sebastián Arabia', 'url': 'https://www.imdb.com/name/nm1733034/'}]","[{'name': 'Gonzalo Boye', 'url': 'https://www.imdb.com/name/nm4513574/'}, {'name': 'Carles Puigdemont', 'url': 'https://www.imdb.com/name/nm4479759/'}, {'name': 'Mariano Rajoy', 'url': 'https://www.imdb.com/name/nm1775577/'}, {'name': 'Soraya Sáenz de Santamaría', 'url': 'https://www.imdb.com/name/nm2973053/'}, {'name': 'Pedro Sánchez', 'url': 'https://www.imdb.com/name/nm6793344/'}]"
315. Los secretos del planeta,https://www.imdb.com/es-es/title/tt35050914/,,,,"[{'name': 'Mario Cuesta Hernando', 'url': 'https://www.imdb.com/name/nm9778809/'}]",[]
