title,url,country,imdbRating,imdbVotes,metascore,budget,domesticGross,worldwideGross,awards,directors,thespians
21. No Hard Feelings,https://www.imdb.com/title/tt15671028/,US,6.3, (194K),59,,,,[],"[{'name': 'Gene Stupnitsky', 'url': 'https://www.imdb.com/name/nm1969144/'}]","[{'name': 'Jennifer Lawrence', 'url': 'https://www.imdb.com/name/nm2225369/'}, {'name': 'Andrew Barth Feldman', 'url': 'https://www.imdb.com/name/nm10574081/'}, {'name': 'Laura Benanti', 'url': 'https://www.imdb.com/name/nm1128574/'}, {'name': 'Matthew Broderick', 'url': 'https://www.imdb.com/name/nm0000111/'}, {'name': 'Natalie Morales', 'url': 'https://www.imdb.com/name/nm2295540/'}]"
22. Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/,US,7.6, (488K),56,"$200,000,000","$636,745,858","$1,338,071,348",[],"[{'name': 'Shawn Levy', 'url': 'https://www.imdb.com/name/nm0506613/'}]","[{'name': 'Ryan Reynolds', 'url': 'https://www.imdb.com/name/nm0005351/'}, {'name': 'Hugh Jackman', 'url': 'https://www.imdb.com/name/nm0413168/'}, {'name': 'Emma Corrin', 'url': 'https://www.imdb.com/name/nm10128408/'}, {'name': 'Matthew Macfadyen', 'url': 'https://www.imdb.com/name/nm0532193/'}, {'name': 'Dafne Keen', 'url': 'https://www.imdb.com/name/nm6748436/'}]"
23. Dune: Part Two,https://www.imdb.com/title/tt15239678/,US,8.5, (621K),79,"$190,000,000","$282,709,065","$714,711,520","['Best Sound', 'Best Achievement in Visual Effects']","[{'name': 'Denis Villeneuve', 'url': 'https://www.imdb.com/name/nm0898288/'}]","[{'name': 'Timothée Chalamet', 'url': 'https://www.imdb.com/name/nm3154303/'}, {'name': 'Zendaya', 'url': 'https://www.imdb.com/name/nm3918035/'}, {'name': 'Rebecca Ferguson', 'url': 'https://www.imdb.com/name/nm0272581/'}, {'name': 'Javier Bardem', 'url': 'https://www.imdb.com/name/nm0000849/'}, {'name': 'Josh Brolin', 'url': 'https://www.imdb.com/name/nm0000982/'}]"
24. The Wild Robot,https://www.imdb.com/title/tt29623480/,US,8.2, (159K),85,"$78,000,000","$143,901,945","$334,054,891",[],"[{'name': 'Chris Sanders', 'url': 'https://www.imdb.com/name/nm0761498/'}]","[{'name': ""Lupita Nyong'o"", 'url': 'https://www.imdb.com/name/nm2143282/'}, {'name': 'Pedro Pascal', 'url': 'https://www.imdb.com/name/nm0050959/'}, {'name': 'Kit Connor', 'url': 'https://www.imdb.com/name/nm5598573/'}, {'name': 'Bill Nighy', 'url': 'https://www.imdb.com/name/nm0631490/'}, {'name': 'Stephanie Hsu', 'url': 'https://www.imdb.com/name/nm3513533/'}]"
"25. Husband, Father, Killer: The Alyssa Pladl Story",https://www.imdb.com/title/tt33353846/,US,6.3, (231),,,,,[],"[{'name': 'Elisabeth Röhm', 'url': 'https://www.imdb.com/name/nm0737533/'}]","[{'name': 'Jackie Cruz', 'url': 'https://www.imdb.com/name/nm3117320/'}, {'name': 'Matthew MacCaull', 'url': 'https://www.imdb.com/name/nm0531468/'}, {'name': 'Matreya Scarrwener', 'url': 'https://www.imdb.com/name/nm5006748/'}, {'name': 'Belle Ferguson', 'url': 'https://www.imdb.com/name/nm14705161/'}, {'name': 'Joselyn Picard', 'url': 'https://www.imdb.com/name/nm11272802/'}]"
26. The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/,US,6.8, (134K),55,,"$20,535,053","$26,994,413",[],"[{'name': 'Guy Ritchie', 'url': 'https://www.imdb.com/name/nm0005363/'}]","[{'name': 'Henry Cavill', 'url': 'https://www.imdb.com/name/nm0147147/'}, {'name': 'Alan Ritchson', 'url': 'https://www.imdb.com/name/nm2024927/'}, {'name': 'Alex Pettyfer', 'url': 'https://www.imdb.com/name/nm1641117/'}, {'name': 'Eiza González', 'url': 'https://www.imdb.com/name/nm2555462/'}, {'name': 'Babs Olusanmokun', 'url': 'https://www.imdb.com/name/nm2129802/'}]"
27. It Ends with Us,https://www.imdb.com/title/tt10655524/,US,6.4, (84K),53,"$25,000,000","$148,518,266","$349,722,357",[],"[{'name': 'Justin Baldoni', 'url': 'https://www.imdb.com/name/nm1682573/'}]","[{'name': 'Blake Lively', 'url': 'https://www.imdb.com/name/nm0515116/'}, {'name': 'Justin Baldoni', 'url': 'https://www.imdb.com/name/nm1682573/'}, {'name': 'Jenny Slate', 'url': 'https://www.imdb.com/name/nm2809577/'}, {'name': 'Brandon Sklenar', 'url': 'https://www.imdb.com/name/nm3996999/'}, {'name': 'Hasan Minhaj', 'url': 'https://www.imdb.com/name/nm3653778/'}]"
28. Freaky Tales,https://www.imdb.com/title/tt21942598/,US,7.2, (996),58,,,,[],"[{'name': 'Anna Boden', 'url': 'https://www.imdb.com/name/nm1349818/'}, {'name': 'Ryan Fleck', 'url': 'https://www.imdb.com/name/nm0281396/'}]","[{'name': 'Too $hort', 'url': 'https://www.imdb.com/name/nm0790001/'}, {'name': 'Ji-young Yoo', 'url': 'https://www.imdb.com/name/nm10955564/'}, {'name': 'Jack Champion', 'url': 'https://www.imdb.com/name/nm5607823/'}, {'name': 'Marteen', 'url': 'https://www.imdb.com/name/nm13329948/'}, {'name': 'Zack Roberts', 'url': 'https://www.imdb.com/name/nm1892433/'}]"
29. Juror #2,https://www.imdb.com/title/tt27403986/,US,7.0, (96K),72,,,,[],"[{'name': 'Clint Eastwood', 'url': 'https://www.imdb.com/name/nm0000142/'}]","[{'name': 'Nicholas Hoult', 'url': 'https://www.imdb.com/name/nm0396558/'}, {'name': 'Zoey Deutch', 'url': 'https://www.imdb.com/name/nm3614913/'}, {'name': 'Megan Mieduch', 'url': 'https://www.imdb.com/name/nm2973148/'}, {'name': 'Toni Collette', 'url': 'https://www.imdb.com/name/nm0001057/'}, {'name': 'Melanie Harrison', 'url': 'https://www.imdb.com/name/nm16675431/'}]"
30. The Last Voyage of the Demeter,https://www.imdb.com/title/tt1001520/,US,6.1, (63K),52,,,,[],"[{'name': 'André Øvredal', 'url': 'https://www.imdb.com/name/nm0004217/'}]","[{'name': 'Corey Hawkins', 'url': 'https://www.imdb.com/name/nm3659660/'}, {'name': 'Aisling Franciosi', 'url': 'https://www.imdb.com/name/nm4957233/'}, {'name': 'Liam Cunningham', 'url': 'https://www.imdb.com/name/nm0192377/'}, {'name': 'David Dastmalchian', 'url': 'https://www.imdb.com/name/nm2810287/'}, {'name': 'Chris Walley', 'url': 'https://www.imdb.com/name/nm7368157/'}]"
