decade,year,result,director,movie,director url
Década de 2000,2008,Nominee,Julian Schnabel,La escafandra y la mariposa,https://www.imdb.com/es-es/name/nm0773603/
Década de 2000,2008,Nominee,Paul Thomas Anderson,Pozos de ambición,https://www.imdb.com/es-es/name/nm0000759/
Década de 2000,2007,Ganador,Martin Scorsese,Infiltrados,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2007,Nominee,Alejandro G. Iñárritu,Babel,https://www.imdb.com/es-es/name/nm0327944/
Década de 2000,2007,Nominee,Clint Eastwood,Cartas desde Iwo Jima,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2007,Nominee,Stephen Frears,The Queen (La reina),https://www.imdb.com/es-es/name/nm0001241/
Década de 2000,2007,Nominee,Paul Greengrass,United 93,https://www.imdb.com/es-es/name/nm0339030/
Década de 2000,2006,Ganador,Ang Lee,Brokeback Mountain. En terreno vedado,https://www.imdb.com/es-es/name/nm0000487/
Década de 2000,2006,Nominee,Bennett Miller,Truman Capote,https://www.imdb.com/es-es/name/nm0587955/
Década de 2000,2006,Nominee,Paul Haggis,Crash (Colisión),https://www.imdb.com/es-es/name/nm0353673/
Década de 2000,2006,Nominee,George Clooney,"Buenas noches, y buena suerte.",https://www.imdb.com/es-es/name/nm0000123/
Década de 2000,2006,Nominee,Steven Spielberg,Múnich,https://www.imdb.com/es-es/name/nm0000229/
Década de 2000,2005,Ganador,Clint Eastwood,Million Dollar Baby,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2005,Nominee,Martin Scorsese,El aviador,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2005,Nominee,Taylor Hackford,Ray,https://www.imdb.com/es-es/name/nm0000431/
Década de 2000,2005,Nominee,Alexander Payne,Entre copas,https://www.imdb.com/es-es/name/nm0668247/
Década de 2000,2005,Nominee,Mike Leigh,El secreto de Vera Drake,https://www.imdb.com/es-es/name/nm0005139/
Década de 2000,2004,Ganador,Peter Jackson,El señor de los anillos: El retorno del rey,https://www.imdb.com/es-es/name/nm0001392/
Década de 2000,2004,Nominee,Fernando Meirelles,Ciudad de Dios,https://www.imdb.com/es-es/name/nm0576987/
Década de 2000,2004,Nominee,Sofia Coppola,Lost in Translation,https://www.imdb.com/es-es/name/nm0001068/
Década de 2000,2004,Nominee,Peter Weir,Master and Commander: Al otro lado del mundo,https://www.imdb.com/es-es/name/nm0001837/
Década de 2000,2004,Nominee,Clint Eastwood,Mystic River,https://www.imdb.com/es-es/name/nm0000142/
Década de 2000,2003,Ganador,Roman Polanski,El pianista,https://www.imdb.com/es-es/name/nm0000591/
Década de 2000,2003,Nominee,Rob Marshall,Chicago,https://www.imdb.com/es-es/name/nm0551128/
Década de 2000,2003,Nominee,Martin Scorsese,Gangs of New York,https://www.imdb.com/es-es/name/nm0000217/
Década de 2000,2003,Nominee,Pedro Almodóvar,Hable con ella,https://www.imdb.com/es-es/name/nm0000264/
Década de 2000,2003,Nominee,Stephen Daldry,Las horas,https://www.imdb.com/es-es/name/nm0197636/
Década de 2000,2002,Ganador,Ron Howard,Una mente maravillosa,https://www.imdb.com/es-es/name/nm0000165/
Década de 2000,2002,Nominee,Ridley Scott,Black Hawk derribado,https://www.imdb.com/es-es/name/nm0000631/
Década de 2000,2002,Nominee,Robert Altman,Gosford Park,https://www.imdb.com/es-es/name/nm0000265/
