director_name,director_url,year_result,award_name,category,title
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Festival Prize,Avis Schio Social Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2014 Winner,Festival Prize,Best Animation Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2014 Nominee,Festival Prize,Best Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Honorable Mention,Animation,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Festival Prize,Best Overall Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Lionshead Trophy,Best Overall Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Final Award,Tema animazione,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Audience Award,Best Animation,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Jury Prize,Mejor Cortometraje Infantil,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Animare Award,Best Short - International Animation for Children,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,LIFF Award,Best International Animated Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Galaxy Film Award,Best Animated Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,March Award,Original Score of the Month,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,March Award,Animation of the Month,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Jury Award,Best Animation For Children,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Winner,Grand Jury Prize,Best Narrative Short (under 10 mins),Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Festival Prize,Best Animation,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2014 Winner,Golden Orchid,Animation Direction,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,CayFilm Award,Animated Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Jury Prize,Best Animation Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2014 Winner,Augusto,Best Animation Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Festival Award,Best Short Narrative,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Festival Award,Best Director,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2016 Winner,Festival Award,Best Writer,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2014 Winner,Premio del Público,Best Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2015 Winner,Festival Prize,Best Animation,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2017 Winner,August Monthly Edition,Honorable Mention,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Nominee,Jury Prize,Best Short Film,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Winner,Jury Prize,Best Story Short,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Winner,Jury Prize,Best Director Short,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Nominee,Best Animation Short Film,,Cuerdas
Pedro Solís García,https://www.imdb.com/name/nm3433064/,2018 Nominee,Jury Prize,Best Animation,Cuerdas
Pedro Martín,https://www.imdb.com/name/nm3911679/,2008 Nominee,Golden Tadpole,Student Etudes Competition,5 segundos
Pedro Martín,https://www.imdb.com/name/nm3911679/,2025 Nominee,Goya,Best New Director (Mejor Dirección Novel),El llanto
Pedro Martín,https://www.imdb.com/name/nm3911679/,2024 Nominee,Golden Seashell,Best Film,El llanto
Pedro Martín,https://www.imdb.com/name/nm3911679/,2024 Winner,Silver Seashell,Best Director,El llanto
Marçal Forés,https://www.imdb.com/name/nm2253409/,2008 Winner,Mikrocine Prize/Canal+ Cinema,,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2013 Winner,aGLIFF Award,Honorable Mention for Narrative Feature,Animals
Marçal Forés,https://www.imdb.com/name/nm2253409/,2015 Nominee,Best Feature Film - Avant-Garde and Genre,,Amor eterno
Marçal Forés,https://www.imdb.com/name/nm2253409/,2014 Winner,Carnet Jove Jury Award,Emergents Award,Amor eterno
Marçal Forés,https://www.imdb.com/name/nm2253409/,2007 Winner,Prix Entente Cordiale,,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2008 Winner,Jury Prize,Best Director,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2008 Winner,Future Filmmaker Award,,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2008 Nominee,Student Award,Best Live Action Over 15 Minutes,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2008 Winner,Student Television Award,Postgraduate Drama,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2012 Nominee,Sebastiane Award,Best Film,Animals
Marçal Forés,https://www.imdb.com/name/nm2253409/,2007 Nominee,Corto Cortissimo Award,Best Short Film,Friends Forever
Marçal Forés,https://www.imdb.com/name/nm2253409/,2013 Winner,Sant Jordi,Best First Work (Mejor Ópera Prima),Animals
Marçal Forés,https://www.imdb.com/name/nm2253409/,2013 Winner,Bill Sherwood Award,Best First Feature,Animals
Marçal Forés,https://www.imdb.com/name/nm2253409/,2013 Nominee,Grand Jury Prize,Feature Film Competition,Animals
Marçal Forés,https://www.imdb.com/name/nm2253409/,2005 Winner,International Jury Award,,Yeah! Yeah! Yeah!
Marçal Forés,https://www.imdb.com/name/nm2253409/,2015 Winner,Jury Prize,Best Feature Film,Amor eterno
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2025 Nominee,CEC Award,Best Film (Mejor Película),La virgen roja
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2025 Nominee,CEC Award,Best Director (Mejor Director),La virgen roja
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2024 Nominee,CEC Award,Best Adapted Screenplay (Mejor Guión Adaptado),Teresa
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,CEC Award,Best Film (Mejor Película),La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,CEC Award,Best Director (Mejor Director),La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2025 Winner,Fotogramas de Plata,Audience Award - Best Spanish Film,La virgen roja
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2025 Nominee,Goya,Best Director (Mejor Dirección),La virgen roja
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,Goya,Best Adapted Screenplay (Mejor Guión Adaptado),La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,Goya,Best Director (Mejor Director),La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2012 Nominee,Goya,Best New Director (Mejor Director Novel),De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2012 Nominee,Goya,Best Original Song (Mejor Canción Original),De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2012 Nominee,Golden Goblet,Best Film,De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2023 Nominee,Golden Spike,Best Film,Teresa
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2011 Winner,Pilar Miró Award,Best New Director,De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2011 Nominee,Golden Spike,Best Film,De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2014 Nominee,Women Film Maker's Section Award,Best Fiction Award,De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Winner,Turia Award,Best New Director,La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2012 Nominee,Violette d'Or,,De tu ventana a la mía
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2015 Nominee,Grand Prize,,La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,Gaudí Award,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2025 Nominee,Feroz Award,Best Director,La virgen roja
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2024 Nominee,Feroz Arrebato Award,Fiction,Teresa
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Winner,Feroz Award,Best Director,La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Winner,Feroz Award,Best Film: Drama,La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Nominee,Feroz Award,Best Screenplay,La novia
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2003 Winner,Audience Award,,El rostro de Ido
Paula Ortiz,https://www.imdb.com/name/nm2315216/,2016 Winner,Roel,Director of the XXI Century,
Albert Serra,https://www.imdb.com/name/nm2247200/,2025 Nominee,Aurora Award,,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,FIPRESCI Prize,,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,Palme d'Or,,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,Queer Palm,,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Nominee,Un Certain Regard Award,,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Nominee,Queer Palm,,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Winner,Un Certain Regard - Special Jury Prize,,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,César,Best Director (Meilleur réalisation),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,César,Best Film (Meilleur film),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,Grand Prix,Best Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Nominee,Prix de l'expérimentation,,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,Award for International Cinema,The Nechama Rivilin Award for Best International Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2016 Winner,The Wilf Family Foundation Award,Best International Film,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2011 Nominee,Best World Documentary,,El Senyor ha fet en mi meravelles
Albert Serra,https://www.imdb.com/name/nm2247200/,2013 Winner,Golden Leopard,,Historia de mi muerte
Albert Serra,https://www.imdb.com/name/nm2247200/,2008 Nominee,Best Film,International Competition,El cant dels ocells
Albert Serra,https://www.imdb.com/name/nm2247200/,2007 Nominee,Best Film,International Competition,Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2018 Winner,Grand Prix,International Competition,Roi Soleil
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,ARRI/OSRAM Award,Best International Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Nominee,ARRI/OSRAM Award,Best International Film,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2016 Nominee,ARRI/OSRAM Award,Best International Film,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2014 Nominee,ARRI/OSRAM Award,Best International Film,Historia de mi muerte
Albert Serra,https://www.imdb.com/name/nm2247200/,2016 Winner,Prix Jean Vigo,Feature Film,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2016 Nominee,Prix Louis Delluc,Best Film,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2024 Winner,Golden Seashell,Best Film,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2024 Winner,Feroz Zinemaldia Award,,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2024 Winner,Ateneo Guipuzcoano Award,Best Film,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Nominee,Sebastiane Award,Best Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2006 Winner,FIPRESCI Prize,,Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Lumiere Award,Best Film (Meilleur film),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,Lumiere Award,Best Director (Meilleur réalisateur),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2017 Nominee,Lumiere Award,Best Film (Meilleur film),La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2017 Nominee,Lumiere Award,Best Director (Meilleur réalisateur),La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Rosa de Sant Jordi Audience Award,Best Spanish Film (Millor pel·lícula espanyola),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2006 Winner,Barcelona Film Award,Best New Director (Millor Director Novell),Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2006 Winner,Barcelona Film Award,Best Film in Catalan Language (Millor Pel·lícula en V.O. Catalana),Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Gaudí Award,Best Director (Millor Direcció),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Gaudí Award,Best Original Screenplay (Millor Guió Original),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Gaudí Award,Best Film Editing (Millor Muntatge),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,Gaudí Award,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2020 Nominee,Gaudí Award,Best Non-Catalan Language Film (Millor Pel·lícula en Llengua no Catalana),Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2025 Winner,ICS Award,Best Editing,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2025 Winner,ICS Award,Best Documentary,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,ICS Award,Best Director,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,ICS Award,Best Original Screenplay,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,ICS Award,Best Editing,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Feroz Arrebato Award,Fiction,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2017 Winner,Special Award,,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2018 Winner,CinEuphoria,Top Ten of the Year - National Competition,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2018 Nominee,CinEuphoria,Best Film - National Competition,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2019 Nominee,Golden Giraldillo,Best Film,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Halfway Award,Best Director,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,ICP Award,Best Director,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2016 Nominee,Premio Fénix,Best Director,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2006 Winner,Prize of the City of Torino,Best Feature Film,Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2006 Winner,Holden Award for Best Script - Special Mention,,Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2020 Winner,Special Award,Local Award,Liberté
Albert Serra,https://www.imdb.com/name/nm2247200/,2014 Winner,Yoga Award,Worst Spanish Actor,
Albert Serra,https://www.imdb.com/name/nm2247200/,2014 Winner,Puma,Best Director - International Competition,Historia de mi muerte
Albert Serra,https://www.imdb.com/name/nm2247200/,2014 Nominee,Puma,International Competition,Historia de mi muerte
Albert Serra,https://www.imdb.com/name/nm2247200/,2025 Nominee,Documentary Award,,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2018 Nominee,Jury Award,Best Film,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2018 Winner,Jury Award,Best Script,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Winner,Top 10 Film Award,Best Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2007 Nominee,Top 10 Film Award,Best Film,Honor de cavalleria
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Días de Cine Award,Best Spanish Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2024 Nominee,Film Comment's Year-End Critics' Poll,Best Undistributed Film,Tardes de soledad
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Nominee,Film Comment's Year-End Critics' Poll,Best Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,The Best Film,June,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2022 Winner,Cineuropa's Best of Year,Best Film,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2023 Winner,Girona Film Critics Award,Best Picture,Pacifiction
Albert Serra,https://www.imdb.com/name/nm2247200/,2017 Nominee,Girona Film Critics Award,Best Picture,La mort de Louis XIV
Albert Serra,https://www.imdb.com/name/nm2247200/,2009 Nominee,Girona Film Critics Award,Best Picture,El cant dels ocells
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,1996 Winner,European Jury Award,Feature Film - Special Mention,Salto al vacío
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,1995 Winner,Golden Precolumbian Circle,Best Film,Salto al vacío
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2020 Nominee,Golden Biznaga,Best Spanish Film (Mejor Película Española),Hasta el cielo
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2013 Nominee,Golden Biznaga,Best Film (Mejor Película),Combustión
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2018 Nominee,Knight Competition Grand Jury Prize,Best Film,El aviso
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,1995 Nominee,Prize of the City of Torino,Best Feature Film,Salto al vacío
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,1997 Nominee,Golden Lion,,A ciegas
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2019 Winner,Yoga Award,Worst Spanish Director,El aviso
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,1998 Winner,Yoga Award,Worst Spanish Director,A ciegas
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2017 Nominee,Mestre Mateo,Best Director,Cien años de perdón
Daniel Calparsoro,https://www.imdb.com/name/nm0130714/,2013 Nominee,Mestre Mateo,Best Director,Invasor
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2012 Nominee,First Appearance Award,,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2012 Winner,DOC U! Award,,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2012 Nominee,Audience Award,,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,CEC Award,Best Film (Mejor Película),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,CEC Award,Best Director (Mejor Director),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,CEC Award,Best Original Screenplay (Mejor Guión Original),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Winner,Solidarity Medal,Fiction,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Fotogramas de Plata,Audience Award - Best Spanish Film,El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Goya,Best Original Screenplay (Mejor Guión Original),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Nominee,WarnerMedia Ibero-American Feature Film Award,,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Nominee,Audience Award,Audience Award Narrative Feature Film,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2021 Winner,Audience Award,Best Picture (Mejor Película),Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Winner,Rosa de Sant Jordi Audience Award,Best Spanish Film (Millor pel·lícula espanyola),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Winner,Audience Award,Best Feature Film,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Winner,Youth Jury Award,Best Film,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Winner,BIFF Award,Best Feature Film,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2013 Winner,BIFF Award,Best Feature Documentary,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2017 Winner,Audience Award,Best Film,100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2016 Winner,FICAL,Best First Film 1st Front Runner,100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2021 Winner,BNL People's Choice Award,Best Film,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Gaudí Award,Best Director (Millor Direcció),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Gaudí Award,Best Original Screenplay (Millor Guió Original),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Winner,Gaudí Award,Best Film (Millor Pel·lícula),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Winner,Gaudí Award,Audience Award (Premi del Públic),El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2024 Nominee,Gaudí Award,Best Documentary (Millor Pel·lícula Documental),Hermano caballo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Feroz Award,Best Screenplay,El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2022 Winner,CinEuphoria,Best Film - Iberian Competition,Mediterráneo
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2018 Winner,CinEuphoria,Top Ten of the Year - National Competition,100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2018 Nominee,CinEuphoria,Best Director - National Competition,100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2018 Nominee,CinEuphoria,Best Film - National Competition,100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Platino Award,Best Film,El 47
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2017 Nominee,José María Forqué Award,Values Education (Educación en Valores),100 metros
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2013 Winner,Teen Dox Award,,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2010 Winner,Jury Prize,Best TV Movie,Cuatro estaciones
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2010 Winner,Critics Award,Best Film,Cuatro estaciones
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2013 Winner,Jury Prize,Best Film,Món petit
Marcel Barrena,https://www.imdb.com/name/nm2201717/,2025 Nominee,Días de Cine Award,Best Spanish Film,El 47
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,CEC Award,Best Film (Mejor Película),La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,CEC Award,Best Director (Mejor Director),La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,CEC Award,Best Film (Mejor Película),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,CEC Award,Best Director (Mejor Director),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,CEC Award,Best Original Screenplay (Mejor Guión Original),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,Fotogramas de Plata,Audience Award - Best Spanish Film,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2025 Nominee,Goya,Best Director (Mejor Dirección),Marco
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2025 Nominee,Goya,Best Original Screenplay (Mejor Guión Original),Marco
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,Goya,Best Director (Mejor Director),La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,Goya,Best Director (Mejor Director),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Winner,Goya,Best Original Screenplay (Mejor Guión Original),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2008 Winner,Mayahuel Award,Best Documentary - Ibero-American Jury - Special Mention,Lucio
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2019 Nominee,Golden Seashell,Best Film,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2019 Nominee,Sebastiane Award,Best Film,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2019 Winner,Feroz Zinemaldia Award,,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2019 Winner,Silver Seashell,Best Director,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2019 Winner,Irizar Award,Best Basque Film,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,Ibero American Competition,,Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2024 Nominee,Venice Horizons Award,Best Film,Marco
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2024 Nominee,Iris Award,Best Fiction Screenplay (Mejor Guion de Ficción),Cristóbal Balenciaga
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,Grand Prix,Best Short Film,La madre de Mateo
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2024 Nominee,National TV Series Contest,Best Miniseries Showrunner,Cristóbal Balenciaga
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2012 Winner,Best Short Film,Best Short Film,Lagun mina (Amigo íntimo)
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2012 Winner,Best Cinematographer,Short Film,Lagun mina (Amigo íntimo)
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,Feroz Award,Best Director,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,Feroz Award,Best Director,Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,Feroz Award,Best Film: Drama,Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2015 Nominee,Feroz Award,Best Screenplay,Loreak (Flores)
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,2º Premio,Best Short Film,La madre de Mateo
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2020 Nominee,Platino Award,Best Director,La trinchera infinita
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,José María Forqué Award,Best Picture,Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,José María Forqué Award,Values Education (Educación en Valores),Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Nominee,ASECAN Award,Best Spanish Film,Handia
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2018 Winner,Roel,Director of the XXI Century,
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2015 Winner,Roel,Best Screenplay,Zarautzen erosi zuen
Aitor Arregi,https://www.imdb.com/name/nm1534594/,2012 Winner,Best Short Film,,Lagun mina (Amigo íntimo)
