decade,year,result,director,movie,director url
Década de 2000,2001,Nominee,Steven Soderbergh,Erin Brockovich,https://www.imdb.com/es-es/name/nm0001752/
Década de 2000,2001,Nominee,Ridley Scott,Gladiator (El gladiador),https://www.imdb.com/es-es/name/nm0000631/
Década de 2000,2001,Nominee,István Szabó,Sunshine,https://www.imdb.com/es-es/name/nm0843640/
Década de 2000,2001,Nominee,Steven Soderbergh,Traffic,https://www.imdb.com/es-es/name/nm0001752/
Década de 2000,2000,Ganador,Sam Mendes,American Beauty,https://www.imdb.com/es-es/name/nm0005222/
Década de 2000,2000,Nominee,Norman Jewison,Huracán Carter,https://www.imdb.com/es-es/name/nm0422484/
Década de 2000,2000,Nominee,Neil Jordan,El fin del romance,https://www.imdb.com/es-es/name/nm0001403/
Década de 2000,2000,Nominee,Michael Mann,El dilema (The Insider),https://www.imdb.com/es-es/name/nm0000520/
Década de 2000,2000,Nominee,Anthony Minghella,El talento de Mr. Ripley,https://www.imdb.com/es-es/name/nm0005237/
Década de 1990,1999,Ganador,Steven Spielberg,Salvar al soldado Ryan,https://www.imdb.com/es-es/name/nm0000229/
Década de 1990,1999,Nominee,Shekhar Kapur,Elizabeth,https://www.imdb.com/es-es/name/nm0001408/
Década de 1990,1999,Nominee,John Madden,Shakespeare in Love (Shakespeare enamorado),https://www.imdb.com/es-es/name/nm0006960/
Década de 1990,1999,Nominee,Robert Redford,El hombre que susurraba a los caballos,https://www.imdb.com/es-es/name/nm0000602/
Década de 1990,1999,Nominee,Peter Weir,El show de Truman,https://www.imdb.com/es-es/name/nm0001837/
Década de 1990,1998,Ganador,James Cameron,Titanic,https://www.imdb.com/es-es/name/nm0000116/
Década de 1990,1998,Nominee,James L. Brooks,Mejor... imposible,https://www.imdb.com/es-es/name/nm0000985/
Década de 1990,1998,Nominee,Curtis Hanson,L.A. Confidential,https://www.imdb.com/es-es/name/nm0000436/
Década de 1990,1998,Nominee,Jim Sheridan,The Boxer,https://www.imdb.com/es-es/name/nm0006487/
Década de 1990,1998,Nominee,Steven Spielberg,Amistad,https://www.imdb.com/es-es/name/nm0000229/
Década de 1990,1997,Ganador,Milos Forman,El escándalo de Larry Flynt,https://www.imdb.com/es-es/name/nm0001232/
Década de 1990,1997,Nominee,Joel Coen,Fargo,https://www.imdb.com/es-es/name/nm0001054/
Década de 1990,1997,Nominee,Scott Hicks,Shine,https://www.imdb.com/es-es/name/nm0382956/
Década de 1990,1997,Nominee,Anthony Minghella,El paciente inglés,https://www.imdb.com/es-es/name/nm0005237/
Década de 1990,1997,Nominee,Alan Parker,Evita,https://www.imdb.com/es-es/name/nm0000570/
Década de 1990,1996,Ganador,Mel Gibson,Braveheart,https://www.imdb.com/es-es/name/nm0000154/
Década de 1990,1996,Nominee,Mike Figgis,Leaving Las Vegas,https://www.imdb.com/es-es/name/nm0001214/
